"Line"	"Crop"	"PlantingDate"	"Rep"	"VideoDate"	"MeanFreq"	"MedianFreq"	"SdFreq"	"Hz0.5"	"Hz0.7"	"Hz0.9"	"Hz1.1"	"Hz1.3"	"Hz1.5"	"Hz1.7"	"Hz1.9"	"'Hz2.1"	"Hz2.3"	"Hz2.5"	"Hz2.7"	"Hz2.9"	"Hz3.1"	"Hz3.3"	"Hz3.5"	"Hz3.7"	"Hz3.9"	"Hz4.1"	"Hz4.3"	"Hz4.5"	"Position"
"1"	"ACMetcalf"	"2row"	"1"	"A"	"07_10_17"	"1.37805170731707"	"1.1667"	"0.638342385691165"	"1.13401"	"1.317134"	"2.421144"	"1.833472"	"0.824998"	"0.364539"	"1.18309"	"1.724509"	"1.045883"	"0.273714"	"0.17234"	"0"	"0.10068"	"0"	"0.10196"	"0.091959"	"0"	"0"	"0"	"0"	"0"	2
"2"	"Celebration"	"6row"	"1"	"A"	"07_10_17"	"1.17100697916667"	"1.14585"	"0.402860556055709"	"0.569964"	"2.602047"	"2.170078"	"3.053447"	"0.971876"	"0.650035"	"1.065368"	"1.45579"	"0"	"0"	"0"	"0.091798"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"3"	"Conion"	"2row"	"1"	"A"	"07_10_17"	"1.49285785714286"	"1.2917"	"0.828422811244955"	"1.06763"	"1.053459"	"1.408682"	"0.914398"	"1.261368"	"0.32916"	"0.959443"	"0.998739"	"1.427395"	"0"	"0.10625"	"0"	"0"	"0"	"0"	"0.11121"	"0.10036"	"0"	"0"	"0"	"0.11083"	2
"4"	"Conion"	"2row"	"1"	"B"	"07_10_17"	"1.26305120481928"	"1.1667"	"0.601943367452854"	"2.443057"	"1.69613"	"1.224611"	"1.398718"	"0.831016"	"0.810008"	"1.969304"	"0.800818"	"1.03918"	"0.097656"	"0"	"0.083011"	"0"	"0"	"0"	"0"	"0.113"	"0"	"0"	"0"	"0"	1
"5"	"GOPHER"	"oat"	"1"	"A"	"07_10_17"	"1.33901056818182"	"1.2917"	"0.393063882823305"	"0.570425"	"0.759438"	"1.910281"	"4.76015"	"3.89865"	"0.96658"	"1.737268"	"2.80918"	"0"	"0.79387"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"6"	"GOPHER"	"oat"	"1"	"B"	"07_10_17"	"1.35812455696203"	"1.2917"	"0.536694545117104"	"1.307707"	"0.915627"	"0.659635"	"3.302202"	"2.247424"	"1.71001"	"1.004861"	"0.240563"	"1.554787"	"0.226997"	"0.11606"	"0"	"0"	"0"	"0"	"0.088056"	"0"	"0"	"0"	"0"	"0"	2
"7"	"GOPHER"	"oat"	"1"	"C"	"07_10_17"	"1.18468405405405"	"1.125"	"0.483855330232393"	"0.762221"	"1.224899"	"1.415256"	"2.528425"	"1.79056"	"0.329337"	"0.260599"	"0.895905"	"0.069094"	"0"	"0.29952"	"0"	"0.15476"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"8"	"IL078721"	"oat"	"1"	"A"	"07_10_17"	"1.23116534246575"	"1"	"0.658074929527368"	"1.022151"	"1.289656"	"0.507615"	"0.600165"	"0.362976"	"0.051693"	"0.320387"	"0.381645"	"0.744592"	"0.67209"	"0.078679"	"0.459165"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"9"	"IL078721"	"oat"	"1"	"B"	"07_10_17"	"1.55249051948052"	"1.2917"	"0.797202511443835"	"0.616472"	"1.97562"	"1.315407"	"1.810999"	"1.026389"	"0.919195"	"0.892219"	"1.629921"	"0.243261"	"0.48441"	"0.185338"	"0"	"0.069008"	"0"	"0"	"0.342524"	"0"	"0.1414"	"0.09615"	"0"	"0"	2
"10"	"IL078721"	"oat"	"1"	"C"	"07_10_17"	"1.41281738461538"	"1.25"	"0.712181266978597"	"0.360538"	"1.853807"	"0.843627"	"0.972501"	"0.765772"	"0.736057"	"0.23584"	"0.694258"	"0.709315"	"0.097853"	"0.247297"	"0.082249"	"0"	"0"	"0"	"0.11805"	"0"	"0"	"0.124"	"0"	"0"	1
"11"	"Linkert"	"wheat"	"1"	"A"	"07_10_17"	"1.12393551282051"	"0.91667"	"0.533468380863292"	"1.43455"	"1.094176"	"0.327601"	"1.681921"	"0.328779"	"0.501583"	"0.267004"	"1.032257"	"0.76829"	"0"	"0.083899"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"12"	"Linkert"	"wheat"	"1"	"B"	"07_10_17"	"1.61339131147541"	"1.375"	"0.868266009499154"	"0.338685"	"0.87173"	"1.425991"	"0.921618"	"0.442818"	"0.726343"	"0.238126"	"0.630118"	"1.171718"	"0.23937"	"0"	"0"	"0"	"0"	"0"	"0.24349"	"0.095748"	"0"	"0.24043"	"0"	"0"	2
"13"	"NDGenesis"	"2row"	"1"	"A"	"07_10_17"	"1.37379260869565"	"1.2083"	"0.64778812642273"	"1.125158"	"0.388622"	"0.509813"	"2.628668"	"0.521466"	"0.930929"	"0.3821"	"0.547028"	"0.800854"	"0.136962"	"0.059531"	"0"	"0"	"0"	"0.198839"	"0"	"0"	"0"	"0"	"0"	"0"	1
